,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,mt,inns,rn,fo,si,ft,ft,hn,bf,dk,times_not_out,hs,bta,btsr,country_id,target_value,target_id,is_home,current_age,opposition_mt,opposition_inns,opposition_rn,opposition_fo,opposition_si,opposition_ft,opposition_hn,opposition_bf,opposition_dk,opposition_times_not_out,opposition_hs,opposition_bta,opposition_btsr,host_mt,host_inns,host_rn,host_fo,host_si,host_ft,host_hn,host_bf,host_dk,host_times_not_out,host_hs,host_bta,host_btsr,batting_positionval1_mt,batting_positionval1_inns,batting_positionval1_rn,batting_positionval1_fo,batting_positionval1_si,batting_positionval1_ft,batting_positionval1_hn,batting_positionval1_bf,batting_positionval1_dk,batting_positionval1_times_not_out,batting_positionval1_hs,batting_positionval1_bta,batting_positionval1_btsr
0,303423,2023-09-23 10:00:00,29,1,34,2.0,1,0,1,0,0,0,1,3,16,0.0,0.0,11957.0,1,1,103,98.0,2921.0,284.0,35.0,15.0,15.0,8.0,3892.0,6.0,7.0,145.0,32.09,75.05,1,0.0,6,False,32.75890410958904,9,8.0,211.0,22.0,1.0,0.0,1.0,270.0,0.0,0.0,113.0,26.37,78.14,10,9.0,277.0,32.0,0.0,1.0,1.0,351.0,0.0,0.0,113.0,30.77,78.91,4.0,4.0,74.0,8.0,0.0,0.0,0.0,149.0,0.0,0.0,38.0,18.5,49.66
1,303423,2023-06-30 07:00:00,29,0,1904,2.0,1,1,1,0,0,0,1,3,16,0.0,0.0,11872.0,3,11,103,98.0,2921.0,284.0,35.0,15.0,15.0,8.0,3892.0,6.0,7.0,145.0,32.09,75.05,9,0.0,6,False,32.52602739726027,1,1.0,45.0,5.0,0.0,0.0,0.0,58.0,0.0,1.0,45.0,,77.58,16,16.0,434.0,39.0,4.0,1.0,2.0,649.0,1.0,2.0,121.0,31.0,66.87,60.0,60.0,2053.0,201.0,26.0,11.0,7.0,2665.0,4.0,5.0,145.0,37.32,77.03
2,303423,2023-03-18 08:00:00,29,25,1564,2.0,2,0,1,0,0,0,1,3,16,0.0,0.0,11768.0,3,25,103,98.0,2921.0,284.0,35.0,15.0,15.0,8.0,3892.0,6.0,7.0,145.0,32.09,75.05,25,0.0,6,False,32.24109589041096,9,7.0,143.0,17.0,1.0,1.0,0.0,218.0,0.0,0.0,53.0,20.42,65.59,3,2.0,11.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,6.0,5.5,36.66,60.0,60.0,2053.0,201.0,26.0,11.0,7.0,2665.0,4.0,5.0,145.0,37.32,77.03
12,303423,2023-06-25 07:00:00,29,0,261,2.0,1,1,1,0,0,0,1,3,16,0.0,0.0,11867.0,3,8,103,98.0,2921.0,284.0,35.0,15.0,15.0,8.0,3892.0,6.0,7.0,145.0,32.09,75.05,9,0.0,6,False,32.512328767123286,1,1.0,12.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,12.0,12.0,92.3,16,16.0,434.0,39.0,4.0,1.0,2.0,649.0,1.0,2.0,121.0,31.0,66.87,60.0,60.0,2053.0,201.0,26.0,11.0,7.0,2665.0,4.0,5.0,145.0,37.32,77.03
22,303423,2023-05-09 09:45:00,29,0,318,2.0,1,1,1,0,0,0,1,3,16,0.0,0.0,11820.0,3,25,103,98.0,2921.0,284.0,35.0,15.0,15.0,8.0,3892.0,6.0,7.0,145.0,32.09,75.05,1,0.0,6,False,32.38356164383562,9,7.0,143.0,17.0,1.0,1.0,0.0,218.0,0.0,0.0,53.0,20.42,65.59,10,9.0,277.0,32.0,0.0,1.0,1.0,351.0,0.0,0.0,113.0,30.77,78.91,60.0,60.0,2053.0,201.0,26.0,11.0,7.0,2665.0,4.0,5.0,145.0,37.32,77.03
26,303423,2023-07-04 07:00:00,29,0,1904,2.0,1,1,1,0,0,0,1,3,16,0.0,0.0,11876.0,3,32,103,98.0,2921.0,284.0,35.0,15.0,15.0,8.0,3892.0,6.0,7.0,145.0,32.09,75.05,9,0.0,6,False,32.536986301369865,1,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,20.0,16,16.0,434.0,39.0,4.0,1.0,2.0,649.0,1.0,2.0,121.0,31.0,66.87,60.0,60.0,2053.0,201.0,26.0,11.0,7.0,2665.0,4.0,5.0,145.0,37.32,77.03
38,303423,2023-05-14 09:45:00,29,0,318,2.0,1,1,1,0,0,0,1,3,16,0.0,0.0,11825.0,3,25,103,98.0,2921.0,284.0,35.0,15.0,15.0,8.0,3892.0,6.0,7.0,145.0,32.09,75.05,1,0.0,6,False,32.397260273972606,9,7.0,143.0,17.0,1.0,1.0,0.0,218.0,0.0,0.0,53.0,20.42,65.59,10,9.0,277.0,32.0,0.0,1.0,1.0,351.0,0.0,0.0,113.0,30.77,78.91,60.0,60.0,2053.0,201.0,26.0,11.0,7.0,2665.0,4.0,5.0,145.0,37.32,77.03
51,961407,2023-09-23 10:00:00,29,1,34,2.0,1,0,1,0,0,0,1,5,16,0.0,0.0,8692.0,4,1,40,37.0,1552.0,121.0,40.0,11.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34,1,0.0,6,False,23.813698630136987,5,4.0,96.0,10.0,0.0,0.0,0.0,130.0,1.0,1.0,39.0,32.0,73.84,8,7.0,302.0,23.0,12.0,0.0,1.0,328.0,1.0,2.0,140.0,60.4,92.07,37.0,37.0,1552.0,121.0,40.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34
52,961407,2023-06-30 07:00:00,29,0,1904,2.0,1,1,1,0,0,0,1,5,16,0.0,0.0,8607.0,4,11,40,37.0,1552.0,121.0,40.0,11.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34,9,2.0,6,False,23.58082191780822,1,1.0,25.0,1.0,2.0,0.0,0.0,28.0,0.0,0.0,25.0,25.0,89.28,9,8.0,409.0,33.0,9.0,4.0,1.0,434.0,0.0,1.0,101.0,58.42,94.23,37.0,37.0,1552.0,121.0,40.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34
53,961407,2023-03-18 08:00:00,29,25,1564,2.0,2,0,1,0,0,0,1,5,16,0.0,0.0,8503.0,4,25,40,37.0,1552.0,121.0,40.0,11.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34,25,0.0,6,False,23.295890410958904,6,5.0,209.0,13.0,12.0,0.0,1.0,209.0,1.0,1.0,140.0,52.25,100.0,3,2.0,3.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,3.0,1.5,27.27,37.0,37.0,1552.0,121.0,40.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34
