Unnamed: 0,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,target_value,target_id,is_home,current_age,freq,target_value_binary,stratify_col
7638,302845,2023-03-09 03:15:00,20,32,1939,2.0,1,0,1,0,0,0,1,6,2,0.0,0.0,12198,1,32,50.0,1,False,33.41917808219178,48,1,302845_1
22378,230855,2012-08-28 12:00:00,1,1,1184,2.0,2,0,1,0,0,0,1,6,2,0.0,0.0,9040,6,3,20.0,1,True,24.767123287671232,88,1,230855_1
5475,303427,2017-05-07 10:00:00,29,1,10,2.0,1,0,1,0,0,0,1,4,2,0.0,0.0,9743,2,1,48.0,1,False,26.693150684931503,38,1,303427_1
3636,388802,2019-02-03 02:00:00,5,5,1166,2.0,2,0,1,0,0,0,1,9,0,0.0,0.0,9803,5,6,37.0,1,True,26.85753424657534,61,1,388802_1
21556,4578,2013-02-08 03:20:00,2,2,132,2.0,2,0,1,0,0,0,1,5,2,1.78,0.0,11635,4,4,37.0,1,True,31.876712328767123,61,1,4578_1
20653,48472,2010-06-01 07:00:00,8,9,261,2.0,1,0,1,0,0,0,1,0,2,0.0,0.0,12283,2,9,60.0,1,False,33.652054794520545,33,1,48472_1
2950,348144,2023-04-29 10:30:00,7,7,1001,2.0,2,0,1,0,0,0,1,3,2,0.0,0.0,10423,3,5,65.0,1,True,28.556164383561644,33,1,348144_1
385,629074,2022-01-16 09:00:00,8,8,2503,2.0,2,0,1,0,0,0,1,9,2,0.0,0.0,9845,2,9,26.0,1,True,26.972602739726028,75,1,629074_1
7038,1159641,2022-06-01 15:30:00,11,11,3317,2.0,1,0,1,0,0,0,1,9,2,0.0,0.0,10623,3,27,49.0,1,True,29.10410958904109,43,1,1159641_1
817,56029,2009-08-14 07:30:00,25,9,261,2.0,1,0,1,0,0,0,1,9,2,0.0,0.0,8133,6,9,33.0,1,False,22.28219178082192,65,1,56029_1
13269,44828,2018-10-06 11:00:00,3,3,1031,2.0,2,0,1,0,0,0,1,5,2,5.11,0.0,12503,3,9,26.0,1,True,34.25479452054795,75,1,44828_1
7196,299572,2014-07-18 07:00:00,9,9,261,2.0,1,0,1,0,0,0,1,4,2,0.0,0.0,10312,2,40,42.0,1,True,28.252054794520543,44,1,299572_1
12976,41434,2006-10-25 09:00:00,7,0,1015,2.0,2,1,1,0,0,0,1,0,2,0.0,0.0,9504,1,5,43.0,1,False,26.03835616438356,54,1,41434_1
13382,318339,2013-03-08 06:00:00,40,0,848,2.0,1,1,1,0,0,0,1,0,2,0.0,0.0,9199,6,30,30.0,1,False,25.2027397260274,87,1,318339_1
21080,45789,2013-11-24 09:00:00,3,3,174,2.0,1,0,1,0,0,0,1,0,2,0.0,0.0,13919,4,7,50.0,1,True,38.13424657534247,48,1,45789_1
13096,320652,2015-10-22 07:30:00,40,9,261,2.0,1,0,1,0,0,0,1,5,2,0.0,0.0,10162,5,9,32.0,1,False,27.84109589041096,80,1,320652_1
24038,7133,2007-01-26 03:15:00,2,2,131,2.0,2,0,1,0,0,0,1,7,2,1.78,0.0,11726,3,1,51.0,1,True,32.12602739726027,55,1,7133_1
107,303423,2021-06-04 08:30:00,29,15,1125,2.0,1,0,1,0,0,0,1,3,2,0.0,0.0,11116,3,15,63.0,1,False,30.454794520547942,43,1,303423_1
2673,56143,2006-10-07 09:00:00,25,0,1015,2.0,2,1,1,0,0,0,1,0,0,0.0,0.0,7137,4,8,67.0,1,False,19.553424657534247,27,1,56143_1
17673,44936,2007-03-20 13:30:00,3,0,576,2.0,1,1,1,0,0,0,1,9,2,0.0,0.0,8432,2,30,62.0,1,False,23.10136986301369,34,1,44936_1
7095,55870,2018-10-21 08:30:00,9,25,2025,2.0,2,0,1,0,0,0,1,5,0,0.0,0.0,11713,6,25,50.0,1,False,32.09041095890411,48,1,55870_1
22694,11728,2007-10-01 09:00:00,1,8,1434,2.0,2,0,1,0,0,0,1,6,0,6.02,0.0,8315,1,8,46.0,1,False,22.78082191780822,46,1,11728_1
18337,44956,2009-02-06 03:15:00,5,2,61,2.0,2,0,1,0,0,0,1,0,2,0.0,0.0,10915,5,2,61.0,1,False,29.90410958904109,25,1,44956_1
3418,34102,2014-01-25 01:00:00,6,5,283,2.0,2,0,1,0,0,0,1,7,2,0.0,0.0,9767,1,5,39.0,1,False,26.75890410958904,58,1,34102_1
15599,300628,2013-07-26 09:00:00,8,8,2503,2.0,2,0,1,0,0,0,1,9,2,5.09,0.0,8651,5,3,29.0,1,True,23.7013698630137,59,1,300628_1
13191,352048,2019-02-28 07:30:00,40,0,3416,2.0,2,1,1,0,0,0,1,4,2,0.0,0.0,10131,5,29,46.0,1,False,27.756164383561643,46,1,352048_1
19144,10582,2009-09-06 09:15:00,1,1,10,2.0,1,0,1,0,0,0,1,4,2,5.1,0.0,8891,2,2,27.0,1,True,24.35890410958904,82,1,10582_1
13393,524049,2016-07-19 09:45:00,40,29,1409,2.0,1,0,1,0,0,0,1,5,0,0.0,0.0,8542,7,29,54.0,1,False,23.4027397260274,43,1,524049_1
20109,33335,2012-07-28 09:00:00,6,8,1004,2.0,2,0,1,0,0,0,1,5,0,0.0,0.0,9375,6,8,65.0,1,False,25.68493150684932,33,1,33335_1
12980,41434,2019-06-12 09:30:00,7,0,147,2.0,1,1,1,0,0,0,1,0,2,0.0,0.0,14117,4,2,46.0,1,False,38.67671232876712,46,1,41434_1
9224,28235,2013-06-20 09:30:00,6,0,644,2.0,1,1,1,0,0,0,1,6,0,0.0,0.0,10059,2,8,68.0,1,False,27.55890410958904,24,1,28235_1
2929,348144,2022-08-18 09:00:00,7,15,1936,2.0,1,0,1,0,0,0,1,3,2,0.0,0.0,10169,3,15,57.0,1,False,27.86027397260274,37,1,348144_1
21596,4578,2011-08-10 09:00:00,2,8,2503,2.0,2,0,1,0,0,0,1,5,2,1.78,0.0,11087,4,8,53.0,1,False,30.375342465753423,40,1,4578_1
104,303423,2021-09-13 09:30:00,29,29,1409,2.0,1,0,1,0,1,0,1,3,2,0.0,0.0,11217,3,9,34.0,1,True,30.731506849315068,74,1,303423_1
15939,55343,2007-06-06 09:00:00,4058,0,683,2.0,2,1,1,0,0,0,1,0,2,0.0,0.0,7754,9,106,40.0,1,False,21.24383561643836,49,1,55343_1
21763,259410,2014-08-23 04:30:00,7,8,2502,2.0,1,0,1,0,1,0,1,6,2,0.0,0.0,8309,1,8,49.0,1,False,22.76438356164384,43,1,259410_1
5937,41984,2020-02-06 03:45:00,37,0,1939,2.0,1,1,1,0,0,0,1,0,2,0.0,0.0,13669,5,11,55.0,1,False,37.44931506849315,31,1,41984_1
21234,36084,2007-11-15 09:00:00,6,6,758,2.0,2,0,1,0,0,0,1,5,0,0.0,0.0,9469,5,7,53.0,1,True,25.942465753424656,40,1,36084_1
