Unnamed: 0,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,mt,inns,rn,fo,si,ft,ft.1,hn,bf,dk,times_not_out,hs,bta,btsr,country_id,target_value,target_id,is_home,current_age,opposition_mt,opposition_inns,opposition_rn,opposition_fo,opposition_si,opposition_ft,opposition_hn,opposition_bf,opposition_dk,opposition_times_not_out,opposition_hs,opposition_bta,opposition_btsr,host_mt,host_inns,host_rn,host_fo,host_si,host_ft,host_hn,host_bf,host_dk,host_times_not_out,host_hs,host_bta,host_btsr,batting_positionval1_mt,batting_positionval1_inns,batting_positionval1_rn,batting_positionval1_fo,batting_positionval1_si,batting_positionval1_ft,batting_positionval1_hn,batting_positionval1_bf,batting_positionval1_dk,batting_positionval1_times_not_out,batting_positionval1_hs,batting_positionval1_bta,batting_positionval1_btsr,freq,target_value_binary,stratify_col
31209,49764,2011-07-09 09:45:00,8,1,75,2.0,1,0,1,0,0,0,1,0,16,0.0,0.0,8803.0,6,1,223,192.0,5888.0,465.0,90.0,40.0,40.0,3.0,7084.0,16.0,48.0,139.0,40.88,83.11,1,62.0,1,False,24.117808219178084,28,23.0,867.0,77.0,8.0,7.0,0.0,1036.0,0.0,6.0,85.0,51.0,83.68,28,27.0,955.0,83.0,10.0,7.0,1.0,1167.0,2.0,6.0,113.0,45.47,81.83,66.0,66.0,1737.0,132.0,25.0,11.0,0.0,2169.0,6.0,13.0,89.0,32.77,80.08,29,1,49764_1
31387,303427,2019-05-21 09:45:00,29,29,1409,2.0,1,0,1,0,0,0,1,4,16,0.0,0.0,10487.0,1,40,156,150.0,5623.0,605.0,136.0,28.0,28.0,14.0,6430.0,13.0,3.0,177.0,38.25,87.44,29,50.0,1,True,28.731506849315068,30,29.0,1367.0,129.0,37.0,10.0,3.0,1620.0,1.0,1.0,128.0,48.82,84.38,54,53.0,1674.0,180.0,37.0,8.0,4.0,1991.0,7.0,2.0,130.0,32.82,84.07,33.0,33.0,1786.0,180.0,46.0,7.0,7.0,2025.0,2.0,1.0,177.0,55.81,88.19,38,1,303427_1
39098,49289,2013-07-26 09:00:00,8,8,2503,2.0,2,0,1,0,0,0,1,3,16,0.0,0.0,13209.0,4,3,448,418.0,12650.0,1119.0,76.0,77.0,77.0,19.0,16020.0,28.0,39.0,144.0,33.37,78.96,8,24.0,1,True,36.18904109589041,43,43.0,897.0,69.0,3.0,3.0,0.0,1329.0,1.0,3.0,77.0,22.42,67.49,151,135.0,4046.0,340.0,20.0,28.0,4.0,5237.0,11.0,18.0,123.0,34.58,77.25,219.0,219.0,6947.0,598.0,41.0,48.0,9.0,8953.0,13.0,21.0,128.0,35.08,77.59,86,1,49289_1
39239,45789,2009-09-24 07:30:00,3,3,902,2.0,1,0,1,0,0,0,1,0,16,0.0,0.0,12397.0,3,5,328,314.0,11579.0,911.0,137.0,86.0,86.0,17.0,15885.0,17.0,53.0,139.0,44.36,72.89,3,36.0,1,True,33.964383561643835,45,44.0,1449.0,126.0,16.0,9.0,3.0,2087.0,3.0,8.0,111.0,40.25,69.42,144,137.0,5186.0,434.0,65.0,40.0,6.0,6938.0,7.0,24.0,139.0,45.89,74.74,200.0,200.0,7774.0,643.0,78.0,57.0,13.0,10542.0,11.0,30.0,139.0,45.72,73.74,62,1,45789_1
38659,35263,2007-03-23 13:30:00,6,0,208,2.0,1,1,1,0,0,0,1,7,16,0.0,0.0,10381.0,3,8,251,245.0,8273.0,1132.0,136.0,38.0,38.0,15.0,7929.0,14.0,9.0,219.0,35.05,104.33,4,48.0,1,False,28.44109589041096,55,52.0,1699.0,239.0,20.0,5.0,2.0,1542.0,4.0,3.0,146.0,34.67,110.18,11,11.0,454.0,56.0,8.0,2.0,1.0,456.0,1.0,0.0,114.0,41.27,99.56,11.0,11.0,352.0,49.0,9.0,1.0,1.0,323.0,0.0,1.0,114.0,35.2,108.97,36,1,35263_1
39398,28763,2009-09-26 12:30:00,6,0,902,2.0,2,1,1,0,0,0,1,7,6,0.0,0.0,10209.0,1,7,147,143.0,5238.0,561.0,17.0,34.0,34.0,11.0,6144.0,11.0,11.0,150.0,39.68,85.25,3,57.0,1,False,27.96986301369863,19,19.0,549.0,62.0,4.0,4.0,0.0,659.0,1.0,0.0,83.0,28.89,83.3,3,2.0,63.0,8.0,2.0,1.0,0.0,51.0,0.0,0.0,57.0,31.5,123.52,66.0,66.0,2305.0,263.0,9.0,17.0,4.0,2691.0,5.0,3.0,107.0,36.58,85.65,34,1,28763_1
37907,41378,2013-10-30 11:00:00,7,0,848,2.0,2,1,1,0,0,0,1,5,16,0.0,0.0,14400.0,4,3,162,149.0,5122.0,342.0,83.0,42.0,42.0,0.0,6945.0,6.0,31.0,96.0,43.4,73.75,27,31.0,1,False,39.45205479452055,22,22.0,727.0,55.0,14.0,6.0,0.0,1005.0,0.0,3.0,80.0,38.26,72.33,38,35.0,1099.0,67.0,15.0,7.0,0.0,1585.0,1.0,6.0,79.0,37.89,69.33,51.0,51.0,1945.0,130.0,27.0,19.0,0.0,2894.0,1.0,10.0,83.0,47.43,67.2,66,1,41378_1
39751,55343,2006-07-29 07:30:00,9,9,260,2.0,1,0,1,0,0,0,1,0,16,0.0,0.0,7442.0,7,25,213,198.0,4340.0,343.0,106.0,19.0,19.0,2.0,5423.0,17.0,26.0,117.0,25.23,80.02,9,70.0,1,True,20.389041095890413,55,50.0,1199.0,77.0,40.0,6.0,0.0,1492.0,4.0,8.0,77.0,28.54,80.36,109,98.0,2099.0,154.0,50.0,10.0,1.0,2640.0,13.0,15.0,104.0,25.28,79.5,80.0,80.0,1811.0,161.0,31.0,12.0,0.0,2267.0,5.0,16.0,77.0,28.29,79.88,18,1,55343_1
32112,321777,2019-06-02 09:30:00,3,0,45,2.0,1,1,1,0,0,0,1,5,6,0.0,0.0,10949.0,4,25,166,143.0,4257.0,317.0,128.0,23.0,23.0,5.0,4098.0,9.0,43.0,139.0,42.57,103.87,1,38.0,1,False,29.997260273972604,9,6.0,220.0,18.0,7.0,1.0,0.0,221.0,0.0,1.0,79.0,44.0,99.54,19,15.0,461.0,29.0,13.0,3.0,0.0,478.0,1.0,4.0,75.0,41.9,96.44,4.0,4.0,71.0,7.0,0.0,0.0,0.0,84.0,0.0,2.0,38.0,35.5,84.52,62,1,321777_1
32380,28235,2014-01-25 01:00:00,6,5,283,2.0,2,0,1,0,0,0,1,6,6,0.0,0.0,10278.0,2,5,167,164.0,6793.0,842.0,79.0,39.0,39.0,17.0,7436.0,5.0,10.0,143.0,44.11,91.35,5,28.0,1,False,28.15890410958904,15,15.0,463.0,58.0,5.0,4.0,0.0,599.0,0.0,1.0,75.0,33.07,77.29,14,14.0,476.0,61.0,8.0,3.0,1.0,588.0,0.0,1.0,100.0,36.61,80.95,141.0,141.0,6231.0,773.0,74.0,35.0,17.0,6666.0,4.0,9.0,143.0,47.2,93.47,76,1,28235_1
28697,536936,2021-03-25 22:00:00,25,5,116,2.0,1,0,1,0,0,0,1,9,16,0.0,0.0,9660.0,2,5,84,83.0,2475.0,265.0,42.0,12.0,12.0,5.0,2855.0,12.0,7.0,176.0,32.56,86.69,5,21.0,1,False,26.46575342465753,9,8.0,49.0,4.0,0.0,0.0,0.0,94.0,2.0,0.0,21.0,6.12,52.12,6,6.0,43.0,4.0,0.0,0.0,0.0,77.0,1.0,0.0,21.0,7.16,55.84,48.0,48.0,1458.0,159.0,25.0,8.0,3.0,1759.0,9.0,3.0,176.0,32.4,82.88,81,1,536936_1
