,Unnamed: 0,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,target_value,target_id,is_home,current_age
22274,0,372116,2022-06-12 13:30:00,3,6,442,3.0,3,0,1,0,0,0,1,5,2,0.0,0.0,11714,1,6,35.0,1,False,32.09315068493151
22275,2,372116,2022-10-02 13:30:00,3,6,2865,3.0,3,0,1,0,0,0,1,5,2,0.0,0.0,11826,1,6,0.0,1,False,32.4
22276,3,372116,2022-06-14 13:30:00,3,6,1896,3.0,3,0,1,0,0,0,1,5,2,0.0,0.0,11716,1,6,8.0,1,False,32.0986301369863
22277,4,372116,2021-10-30 10:00:00,3,0,848,3.0,1,1,1,0,0,0,1,5,2,0.0,0.0,11489,4,8,46.0,1,False,31.476712328767125
22278,5,372116,2020-02-14 16:00:00,3,3,302,3.0,3,0,1,0,0,0,1,5,2,0.0,0.0,10865,1,1,31.0,1,True,29.767123287671232
22279,6,372116,2022-11-03 08:00:00,3,0,132,3.0,3,1,1,0,9,0,1,5,2,0.0,0.0,11858,1,7,36.0,1,False,32.487671232876714
22280,7,372116,2021-11-02 10:00:00,3,0,1965,3.0,1,1,1,0,0,0,1,5,2,0.0,0.0,11492,5,25,31.0,1,False,31.484931506849318
22281,8,372116,2021-07-01 18:00:00,3,4,1131,3.0,1,0,1,0,0,0,1,5,2,0.0,0.0,11368,3,4,7.0,1,False,31.145205479452056
22282,9,372116,2019-09-22 13:30:00,3,6,683,3.0,3,0,1,0,0,0,1,5,2,0.0,0.0,10720,3,6,27.0,1,False,29.36986301369863
22283,10,372116,2022-06-09 13:30:00,3,6,333,3.0,3,0,1,0,0,0,1,5,2,0.0,0.0,11711,2,6,10.0,1,False,32.084931506849315
22284,11,372116,2022-11-06 00:00:00,3,0,131,3.0,1,1,1,0,0,0,1,5,2,0.0,0.0,11861,2,15,20.0,1,False,32.49589041095891
22285,12,372116,2022-10-30 11:00:00,3,0,3404,3.0,3,1,1,0,0,0,1,5,2,0.0,0.0,11854,2,6,10.0,1,False,32.47671232876712
22286,13,372116,2022-06-17 13:30:00,3,6,2401,3.0,3,0,1,0,0,0,1,5,2,0.0,0.0,11719,2,6,8.0,1,False,32.106849315068494
22507,875,337790,2022-06-09 13:30:00,3,6,333,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,12175,4,6,75.0,1,False,33.35616438356164
22508,876,337790,2020-02-26 16:00:00,3,3,174,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,11341,2,2,24.0,1,True,31.07123287671233
22509,878,337790,2021-11-02 10:00:00,3,0,1965,3.0,1,1,1,0,0,0,1,7,2,0.0,0.0,11956,3,25,22.0,1,False,32.75616438356165
22510,879,337790,2021-07-01 18:00:00,3,4,1131,3.0,1,0,1,0,0,0,1,7,2,0.0,0.0,11832,5,4,6.0,1,False,32.416438356164385
22511,880,337790,2020-02-21 16:00:00,3,3,508,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,11336,2,2,6.0,1,True,31.057534246575344
22512,882,337790,2022-06-14 13:30:00,3,6,1896,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,12180,4,6,1.0,1,False,33.36986301369863
22513,883,337790,2019-02-06 16:00:00,3,3,902,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,10956,3,7,41.0,1,True,30.016438356164382
22514,884,337790,2021-10-30 10:00:00,3,0,848,3.0,1,1,1,0,0,0,1,7,2,0.0,0.0,11953,3,8,16.0,1,False,32.74794520547945
22515,885,337790,2020-02-14 16:00:00,3,3,302,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,11329,4,1,43.0,1,True,31.03835616438356
22516,886,337790,2019-03-19 16:00:00,3,3,174,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,10997,4,8,34.0,1,True,30.12876712328767
22517,887,337790,2022-06-17 13:30:00,3,6,2401,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,12183,4,6,20.0,1,False,33.37808219178082
22518,888,337790,2022-06-12 13:30:00,3,6,442,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,12178,4,6,1.0,1,False,33.364383561643834
22519,890,337790,2018-10-12 16:00:00,3,3,1367,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,10839,1,9,13.0,1,True,29.695890410958903
22528,943,550215,2022-11-03 08:00:00,3,0,132,3.0,3,1,1,0,9,0,1,1,0,0.0,0.0,10024,8,7,1.0,1,False,27.46301369863014
22529,946,550215,2020-02-26 16:00:00,3,3,174,3.0,3,0,1,0,0,0,1,1,0,0.0,0.0,9043,8,2,5.0,1,True,24.775342465753425
22530,949,550215,2015-08-16 12:00:00,3,3,902,3.0,1,0,1,0,0,0,1,1,0,0.0,0.0,7388,9,5,5.0,1,True,20.24109589041096
22531,954,550215,2021-07-01 18:00:00,3,4,1131,3.0,1,0,1,0,0,0,1,1,0,0.0,0.0,9534,8,4,16.0,1,False,26.12054794520548
