player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,days_extended,actual_days,position_id,style_id,current_age_in_days,batting_order,opponent_team_id,mt,inns,rn,fo,si,ft,hn,bf,dk,times_not_out,hs,bta,btsr,team1_id,team2_id,is_home,followon,current_age,rain_rule,country_id,opposition_mt,opposition_inns,opposition_rn,opposition_fo,opposition_si,opposition_ft,opposition_hn,opposition_bf,opposition_dk,opposition_times_not_out,opposition_hs,opposition_bta,opposition_btsr,host_mt,host_inns,host_rn,host_fo,host_si,host_ft,host_hn,host_bf,host_dk,host_times_not_out,host_hs,host_bta,host_btsr,batting_positionval1_mt,batting_positionval1_inns,batting_positionval1_rn,batting_positionval1_fo,batting_positionval1_si,batting_positionval1_ft,batting_positionval1_hn,batting_positionval1_bf,batting_positionval1_dk,batting_positionval1_times_not_out,batting_positionval1_hs,batting_positionval1_bta,batting_positionval1_btsr,target_id
277906,11/9/23 8:30,5,0,683,2,2,0,1,0,1,7,16,12146,1,8,162,154,6632,602,52,43,13,8201,5,17,148,48.4,80.86,5,8,FALSE,0,33.27671233,0,6,22,18,685,61,5,7,1,792,1,0,103,38.05,86.48,14,14,476,50,2,2,1,658,0,2,118,39.66,72.34,,,,,,,,,,,,,,1
388802,11/9/23 8:30,5,0,683,2,2,0,1,0,1,9,6,11543,2,8,141,128,3948,333,53,23,7,4633,10,14,145,34.63,85.21,5,8,FALSE,0,31.62465753,0,6,16,15,268,31,2,1,0,366,1,2,86,20.61,73.22,18,16,626,55,8,5,1,717,1,2,103,44.71,87.3,32,32,961,85,17,4,3,1195,4,4,137,34.32,80.41,1
277912,11/9/23 8:30,5,0,683,2,2,0,1,0,1,1,16,12528,3,8,110,50,205,19,7,0,0,263,2,27,21,8.91,77.94,5,8,FALSE,0,34.32328767,0,6,13,1,13,0,2,0,0,6,0,0,13,13,216.66,13,6,19,1,1,0,0,23,0,5,10,19,82.6,,,,,,,,,,,,,,1
438563,11/9/23 8:30,5,0,683,2,2,0,1,0,1,0,6,10727,4,8,17,15,416,31,16,0,2,388,1,3,124,34.66,107.21,5,8,FALSE,0,29.3890411,0,6,,,,,,,,,,,,,,5,3,36,2,1,0,0,33,0,1,25,18,109.09,4,4,260,18,10,0,2,240,0,2,124,130,108.33,1
379140,11/9/23 8:30,5,0,683,2,2,0,1,0,1,9,6,11812,5,8,28,27,1151,136,16,3,5,1286,2,3,152,47.95,89.5,5,8,FALSE,0,32.36164384,0,6,,,,,,,,,,,,,,9,9,432,51,12,0,2,396,1,1,152,54,109.09,,,,,,,,,,,,,,1
493773,11/9/23 8:30,5,0,683,2,2,0,1,0,1,1,16,11837,6,8,63,29,116,6,2,0,0,233,4,13,19,7.25,49.78,5,8,FALSE,0,32.43013699,0,6,3,,,,,,,,,,,,,8,5,17,1,0,0,0,34,0,1,8,4.25,50,,,,,,,,,,,,,,1
625960,11/9/23 8:30,5,0,683,2,2,0,1,0,1,1,16,10541,7,8,13,6,83,6,2,0,0,102,0,2,25,20.75,81.37,5,8,FALSE,0,28.87945205,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
381743,11/9/23 8:30,5,0,683,2,2,0,1,0,1,4,16,11861,8,8,35,31,1347,106,34,5,5,1410,0,5,130,51.8,95.53,5,8,FALSE,0,32.49589041,0,6,2,2,53,4,2,0,0,66,0,0,47,26.5,80.3,9,8,356,28,12,2,1,345,0,1,130,50.85,103.18,,,,,,,,,,,,,,1
355269,11/9/23 8:30,5,0,683,2,2,0,1,0,1,4,6,12106,9,8,76,65,1495,128,38,7,0,1496,3,12,97,28.2,99.93,5,8,FALSE,0,33.16712329,0,6,6,5,170,9,10,1,0,106,0,4,64,170,160.37,7,6,134,12,3,2,0,141,1,0,58,22.33,95.03,2,2,13,3,0,0,0,16,1,0,13,6.5,81.25,1
823509,11/9/23 8:30,5,0,683,2,2,0,1,0,1,9,16,9834,10,8,26,20,576,40,22,3,0,636,0,2,72,32,90.56,5,8,FALSE,0,26.94246575,0,6,1,1,39,3,2,0,0,42,0,0,39,39,92.85,9,8,178,12,7,1,0,216,0,1,71,25.42,82.4,,,,,,,,,,,,,,1
